, ,,,Week 8 - Deadline is 9am Thursday 11th December,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Sunday,,,,,,,,,
,No.,Store,Window,Forecast,Confirmed,Forecast,Confirmed,Forecast,Confirmed,Forecast,Confirmed,Forecast,Confirmed,Forecast,Confirmed,Forecast,Confirmed,Total Hours provided,Forecasted Hours,Guide Hours,Required Flex,Provided vs Forecasted Hours,Provided vs Guide Hours,Reason for not meeting Headcount,Actions being taken to resolve for future weeks
,160,Aberdeen,07.30-9.30,3,,3,,2,,3,,3,,3,,3,,,,,,,,,
#REF!,160,Aberdeen,09.30-11.30,4,,3,,4,,3,,4,,6,,5,,,,,,,,,
#REF!,160,Aberdeen,11.30-13.30,4,,4,,4,,3,,4,,6,,5,,,,,,,,,
#REF!,160,Aberdeen,13.30-15.30,4,,4,,3,,2,,3,,4,,4,,,,,,,,,
#REF!,160,Aberdeen,15.30-17.30,3,,2,,2,,2,,2,,2,,2,,,,,,,,,
,160,Aberdeen,Total Hours,36,0,32,0,30,0,26,0,32,0,42,0,38,0,0,236,236,0,-236,0,,
,107,Anlaby,07.30-9.30,4,4,4,4,3,3,5,5,4,4,6,6,6,6,,,,,,,,
#REF!,107,Anlaby,09.30-11.30,6,6,5,4.5,5,5,7,6.5,7,6.5,7,7,7,8,,,,,,,,
#REF!,107,Anlaby,11.30-13.30,6,6.5,5,5,5,4,7,7,7,6.5,7,7,7,7.5,,,,,,,,
#REF!,107,Anlaby,13.30-15.30,5,4.5,3,2.5,4,5,4,4.5,5,6,6,6.5,6,6,,,,,,,,
#REF!,107,Anlaby,15.30-17.30,2,2,2,2,2,2,2,2,2,2,4,3.5,3,3,,,,,,,,
,107,Anlaby,Total Hours,46,46,38,36,38,38,50,50,50,50,60,60,58,61,341,340,341,-1,1,0,,
#REF!,179,Anniesland,05.30-7.30,7,7,7,7,7,7,7,7,8,8,10,10,10,10,,,,,,,,
#REF!,179,Anniesland,07.30-9.30,12,12,11,11,13,13,13,13,15,15,18,18,17,17,,,,,,,,
#REF!,179,Anniesland,09.30-11.30,13,13,11,11,13,13,13,14,15,15,18,18,17,17,,,,,,,,
#REF!,179,Anniesland,11.30-13.30,13,13,10,10,10,10,13,13,15,15,18,18,16,16,,,,,,,,
#REF!,179,Anniesland,13.30-15.30,10,10,8,8,10,10,11,11,14,13,18,17,16,15,,,,,,,,
#REF!,179,Anniesland,15.30-17.30,8,8,8,8,8,8,10,9,9,10,12,13,11,11,,,,,,,,
#REF!,179,Anniesland,17.30-19.30,4,4,4,4,5,5,5,5,6,6,6,6,6,7,,,,,,,,
,179,Anniesland,Total Hours,134,134,118,118,132,132,144,144,164,164,200,200,186,186,1078,1078,1078,0,0,0,,
#REF!,97,Belle vale,05.30-7.30,5,,5,,5,,5,,5,,7,,7,,,,,,,,,
#REF!,97,Belle vale,07.30-9.30,9,,9,,9,,10,,11,,12,,11,,,,,,,,,
#REF!,97,Belle vale,09.30-11.30,9,,9,,9,,10,,12,,12,,11,,,,,,,,,
#REF!,97,Belle vale,11.30-13.30,9,,8,,9,,9,,12,,13,,11,,,,,,,,,
#REF!,97,Belle vale,13.30-15.30,9,,7,,9,,8,,11,,11,,10,,,,,,,,,
#REF!,97,Belle vale,15.30-17.30,6,,6,,6,,6,,8,,10,,6,,,,,,,,,
#REF!,97,Belle vale,17.30-19.30,4,,3,,4,,5,,4,,6,,5,,,,,,,,,
,97,Belle vale,Total Hours,102,0,94,0,102,0,106,0,126,0,142,0,122,0,0,794,793,1,-794,0,,
,40,Bishop Auckland,09.30-11.30,3,3,3,3,3,3,3,3,4,4,4,4,5,5,,,,,,,,
#REF!,40,Bishop Auckland,11.30-13.30,3,3,3,3,3,3,3,3,4,4,4,4,5,5,,,,,,,,
#REF!,40,Bishop Auckland,13.30-15.30,2,2,2,2,3,3,3,3,3,3,4,4,3,3,,,,,,,,
,40,Bishop Auckland,Total Hours,16,16,16,16,18,18,18,18,22,22,24,24,26,26,140,140,141,-1,0,-1,,
,108,Boroughbridge,09.30-11.30,3,,2,,2,,2,,3,,3,,3,,,,,,,,,
#REF!,108,Boroughbridge,11.30-13.30,3,,2,,2,,2,,3,,3,,3,,,,,,,,,
#REF!,108,Boroughbridge,13.30-15.30,2,,2,,2,,2,,2,,2,,2,,,,,,,,,
,108,Boroughbridge,Total Hours,16,0,12,0,12,0,12,0,16,0,16,0,16,0,0,100,101,-1,-100,0,,
#REF!,91,Byker,05.30-7.30,6,,6,,6,,6,,8,,8,,9,,,,,,,,,
#REF!,91,Byker,07.30-9.30,11,,10,,11,,11,,14,,17,,15,,,,,,,,,
#REF!,91,Byker,09.30-11.30,11,,10,,11,,12,,14,,19,,18,,,,,,,,,
#REF!,91,Byker,11.30-13.30,11,,10,,11,,11,,14,,19,,18,,,,,,,,,
#REF!,91,Byker,13.30-15.30,10,,8,,9,,11,,14,,15,,13,,,,,,,,,
#REF!,91,Byker,15.30-17.30,7,,5,,6,,8,,8,,9,,8,,,,,,,,,
#REF!,91,Byker,17.30-19.30,4,,3,,3,,4,,4,,4,,3,,,,,,,,,
,91,Byker,Total Hours,120,0,104,0,114,0,126,0,152,0,182,0,168,0,0,966,966,0,-966,0,,
#REF!,136,Cardonald,05.30-7.30,4,4,4,4,3,3,5,5,5,5,6,6,6,6,,,,,,,,
#REF!,136,Cardonald,07.30-9.30,9,9.5,7,7.5,9,8.5,9,8.5,10,10.5,12,12.5,11,10,,,,,,,,
#REF!,136,Cardonald,09.30-11.30,10,10.5,9,9.5,9,9,9,9.5,12,12.5,14,14,11,11.5,,,,,,,,
#REF!,136,Cardonald,11.30-13.30,10,10,9,8.5,8,9,9,9.5,12,12.5,14,14,11,12,,,,,,,,
#REF!,136,Cardonald,13.30-15.30,7,6.5,7,7,8,7.5,9,7.5,11,8.5,11,10.5,11,8.5,,,,,,,,
#REF!,136,Cardonald,15.30-17.30,6,6,5,4.5,6,6.5,7,6.5,7,6.5,9,8.5,7,7.5,,,,,,,,
#REF!,136,Cardonald,17.30-19.30,3,3,3,5,3,3,3,4,3,3,4,5,4,4,,,,,,,,
,136,Cardonald,Total Hours,98,99,88,92,92,93,102,101,120,117,140,141,122,119,762,762,762,0,0,0,,
#REF!,29,Catcliffe,05.30-7.30,9,9,9,9,7,7,7,7,11,9,12,11,11,7,,,,,,,,
#REF!,29,Catcliffe,07.30-9.30,12,12,12,12,13,13,13,12,17,17,18,18,16,12,,,,,,,,
#REF!,29,Catcliffe,09.30-11.30,12,12,12,12,13,13,13,13,17,17,18,18,17,17,,,,,,,,
#REF!,29,Catcliffe,11.30-13.30,12,12,12,12,13,13,13,13,16,16,18,18,17,17,,,,,,,,
#REF!,29,Catcliffe,13.30-15.30,12,12,12,11,12,12,13,12,15,15,17,16,17,17,,,,,,,,
#REF!,29,Catcliffe,15.30-17.30,8,8,7,7,8,8,8,8,11,10,12,12,10,10,,,,,,,,
#REF!,29,Catcliffe,17.30-19.30,4,4,5,5,5,5,6,6,7,7,6,6,6,6,,,,,,,,
,29,Catcliffe,Total Hours,138,138,138,136,142,142,146,142,188,182,202,198,188,172,1110,1142,1143,-1,-32,-33,,
,75,Cleethorpes,07.30-9.30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
#REF!,75,Cleethorpes,09.30-11.30,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,
