, ,,,Week 7 - Deadline is 10am Thursday 4th December,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Sunday,,,,,,,,,
,No.,Store,Window,Forecast,Confirmed,Forecast,Confirmed,Forecast,Confirmed,Forecast,Confirmed,Forecast,Confirmed,Forecast,Confirmed,Forecast,Confirmed,Total Hours provided,Forecasted Hours,Guide Hours,Required Flex,Provided vs Forecasted Hours,Provided vs Guide Hours,Reason for not meeting Headcount,Actions being taken to resolve for future weeks
#REF!,91,Byker,17.30-19.30,4,4,3,3,4,4,5,5,4,4,4,4,3,3,,,,,,,,
,91,Byker,Total Hours,120,120,104,104,104,104,114,114,132,132,144,144,130,130,848,848,849,-1,0,-1,,
#REF!,136,Cardonald,05.30-7.30,4,4,4,4,3,3,4,4,4,4,5,5,4,4,,,,,,,,
#REF!,136,Cardonald,07.30-9.30,8,7.5,7,5.5,8,6.5,8,6.5,9,8.5,9,9.5,11,10.5,,,,,,,,
#REF!,136,Cardonald,09.30-11.30,8,8.5,8,8,8,8.5,7,7.5,9,9,10,10.5,11,11.5,,,,,,,,
#REF!,136,Cardonald,11.30-13.30,8,8,8,8.5,6,7.5,7,8,9,9.5,10,10.5,11,10,,,,,,,,
#REF!,136,Cardonald,13.30-15.30,7,7,7,7.5,6,6,7,6.5,9,7.5,9,7.5,8,8,,,,,,,,
#REF!,136,Cardonald,15.30-17.30,6,5.5,5,5.5,5,3.5,6,5.5,6,6.5,7,6.5,6,6,,,,,,,,
#REF!,136,Cardonald,17.30-19.30,3,5,3,3,3,3,3,4,3,3,3,3,3,6,,,,,,,,
,136,Cardonald,Total Hours,88,91,84,84,78,76,84,84,98,96,106,105,108,112,648,646,645,1,2,3,,
#REF!,29,Catcliffe,05.30-7.30,9,9,9,8,6,6,6,6,10,9,10,10,9,9,,,,,,,,
#REF!,29,Catcliffe,07.30-9.30,12,12,10,9,11,11,12,12,16,15,15,15,14,14,,,,,,,,
#REF!,29,Catcliffe,09.30-11.30,14,14,13,13,13,13,12,12,16,16,15,16,16,16,,,,,,,,
#REF!,29,Catcliffe,11.30-13.30,14,15,13,13,13,14,12,12,14,14,16,16,16,16,,,,,,,,
#REF!,29,Catcliffe,13.30-15.30,14,13,11,11,11,11,12,12,14,14,16,16,16,16,,,,,,,,
#REF!,29,Catcliffe,15.30-17.30,8,8,7,7,7,7,7,8,10,10,10,11,8,8,,,,,,,,
#REF!,29,Catcliffe,17.30-19.30,5,5,6,6,5,5,6,6,6,6,6,6,6,6,,,,,,,,
,29,Catcliffe,Total Hours,152,152,138,134,132,134,134,136,172,168,176,180,170,170,1074,1074,1073,1,0,1,,
,75,Cleethorpes,07.30-9.30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
#REF!,75,Cleethorpes,09.30-11.30,1,1,1,1,1,1,2,2,2,2,2,2,2,2,,,,,,,,
#REF!,75,Cleethorpes,11.30-13.30,1,1,1,1,1,1,2,2,2,2,2,2,2,2,,,,,,,,
#REF!,75,Cleethorpes,13.30-15.30,1,1,1,1,1,1,1,1,1,1,2,1,2,1,,,,,,,,
#REF!,75,Cleethorpes,15.30-17.30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,75,Cleethorpes,Total Hours,10,10,10,10,10,10,14,14,14,14,16,14,16,14,86,90,91,-1,-4,-5,,
#REF!,218,Cleveleys,05.30-7.30,2,2,2,2,2,2,3,3,3,3,3,3,2,2,,,,,,,,
#REF!,218,Cleveleys,07.30-9.30,4,4,4,4,3,3,4,4,5,5,5,5,4,4,,,,,,,,
#REF!,218,Cleveleys,09.30-11.30,4,4,4,4,3,3,4,4,5,5,5,5,4,4,,,,,,,,
