store_number,merchant_id,new_id,store_name,marketplace_id
475,amzn1.merchant.d.AF2X4DDJ3TUVG7C4SHCTLVQY6E,ARDAP68BE7XAX,Morrisons - Halifax,AM7DNVYQULIQ5
549,amzn1.merchant.d.ABHBXOCUWNNUMBCZY5F7QCZU7QPA,A1HRHCYL00QZKP,Morrisons - Harrow,AM7DNVYQULIQ5
300,amzn1.merchant.d.ACPJHAEDTHDPP5PUMMV3XP2LC7KQ,A3VZIKC29M0O2W,Morrisons - High Wycombe,AM7DNVYQULIQ5
107,amzn1.merchant.d.AALHITTZ7KFUG2IMUQQ5UCDGIOHA,A1YEIMDDJK65I4,Morrisons - Hull,AM7DNVYQULIQ5
15,amzn1.merchant.d.ZKXDPDX3ZK6ZYCB4PANH3A2G54,ALZ8JD7G4V266,Morrisons - Hunslet,AM7DNVYQULIQ5
81,amzn1.merchant.d.AD6LDE533PF2OAX2YMWDQM44CXRA,A2GIN1EUZCMIIG,Morrisons - Ipswich,AM7DNVYQULIQ5
88,amzn1.merchant.d.ADCTYK7ZDZ3AJG55TWLDKHVPEU7Q,A28E2UVB6YHVNS,Morrisons - Jarrow,AM7DNVYQULIQ5
89,amzn1.merchant.d.AAANAXKUQX37ZP26PVS6Q44KILVQ,A1U9XXBO5FJH2O,Morrisons - Kirkstall,AM7DNVYQULIQ5
234,amzn1.merchant.d.RJGUNTBQ6NIKOF3VZDRL7ZVWQI,A2L2SPS8N4OUON,Morrisons - Leicester,AM7DNVYQULIQ5
62,amzn1.merchant.d.ADJEZVZ4KQNGNNGBYFW7U5VQN2GQ,A2W343O2W3728U,Morrisons - Lincoln,AM7DNVYQULIQ5
315,amzn1.merchant.d.AC6P6IVBBG5HRBIGJOCECLUNXOUQ,ARI2IFNUSCZD4,Morrisons - Maidstone,AM7DNVYQULIQ5
128,amzn1.merchant.d.AB4CCA5QSUUSH3SRY6G337KCPWDA,AHWQLKDB567D9,Morrisons - Middlesbrough,AM7DNVYQULIQ5
154,amzn1.merchant.d.B4R25CUZT3DPGOXJZI2JVCHNFA,A3CFK4VX6QYYAU,Morrisons - Milton Keynes,AM7DNVYQULIQ5
104,amzn1.merchant.d.AD4CERWI2IUJTMRNRLOAD3USI4SQ,A2HK3MOXMK63GS,Morrisons - Nelson,AM7DNVYQULIQ5
48,amzn1.merchant.d.AB2EEJ5J4DNTZU74HOFKKDDEP3DA,A2RR15L06EAALK,Morrisons - Newark,AM7DNVYQULIQ5
407,amzn1.merchant.d.ADUN74CBMGTEYQAQGEMMZ53PW44Q,A35REFURK6Z9QD,Morrisons - Newport,AM7DNVYQULIQ5
100,amzn1.merchant.d.UZ4NM3X3OJE5QS4EX7HJACBMLA,A22JR83J9BLKOW,Morrisons - Northampton,AM7DNVYQULIQ5
